"BiocVersion","Description","Genome","SourceUrl","SourceType","SourceVersion","Species","TaxonomyId","Title","ResourceName","RDataPath","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","Tags"
"3.15","UCSC RepeatMasker annotations (Apr2010) for Panda -Ailuropoda melanoleuca- (ailMel1)","ailMel1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/ailMel1/rmsk.ailMel1.Apr2010.rds","UCSC track","Apr2010","Ailuropoda melanoleuca",9646,"UCSC RepeatMasker annotations (Apr2010) for Panda (ailMel1)","UCSC RepeatMasker annotations (Apr2010) for Panda (ailMel1)","ailMel1/rmsk.ailMel1.Apr2010.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Sep2013) for American alligator -Alligator mississippiensis- (allMis1)","allMis1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/allMis1/rmsk.allMis1.Sep2013.rds","UCSC track","Sep2013","Alligator mississippiensis",8496,"UCSC RepeatMasker annotations (Sep2013) for American alligator (allMis1)","UCSC RepeatMasker annotations (Sep2013) for American alligator (allMis1)","allMis1/rmsk.allMis1.Sep2013.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Jun2011) for Lizard -Anolis carolinensis- (anoCar2)","anoCar2","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/anoCar2/rmsk.anoCar2.Jun2011.rds","UCSC track","Jun2011","Anolis carolinensis",28377,"UCSC RepeatMasker annotations (Jun2011) for Lizard (anoCar2)","UCSC RepeatMasker annotations (Jun2011) for Lizard (anoCar2)","anoCar2/rmsk.anoCar2.Jun2011.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Oct2018) for A. gambiae -Anopheles gambiae- (anoGam3)","anoGam3","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/anoGam3/rmsk.anoGam3.Oct2018.rds","UCSC track","Oct2018","Anopheles gambiae",7165,"UCSC RepeatMasker annotations (Oct2018) for A. gambiae (anoGam3)","UCSC RepeatMasker annotations (Oct2018) for A. gambiae (anoGam3)","anoGam3/rmsk.anoGam3.Oct2018.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Feb2005) for A. mellifera -Apis mellifera- (apiMel2)","apiMel2","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/apiMel2/rmsk.apiMel2.Feb2005.rds","UCSC track","Feb2005","Apis mellifera",7460,"UCSC RepeatMasker annotations (Feb2005) for A. mellifera (apiMel2)","UCSC RepeatMasker annotations (Feb2005) for A. mellifera (apiMel2)","apiMel2/rmsk.apiMel2.Feb2005.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Mar2010) for Sea hare -Aplysia californica- (aplCal1)","aplCal1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/aplCal1/rmsk.aplCal1.Mar2010.rds","UCSC track","Mar2010","Aplysia californica",6500,"UCSC RepeatMasker annotations (Mar2010) for Sea hare (aplCal1)","UCSC RepeatMasker annotations (Mar2010) for Sea hare (aplCal1)","aplCal1/rmsk.aplCal1.Mar2010.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Mar2016) for Brown kiwi -Apteryx australis- (aptMan1)","aptMan1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/aptMan1/rmsk.aptMan1.Mar2016.rds","UCSC track","Mar2016","Apteryx australis",NA,"UCSC RepeatMasker annotations (Mar2016) for Brown kiwi (aptMan1)","UCSC RepeatMasker annotations (Mar2016) for Brown kiwi (aptMan1)","aptMan1/rmsk.aptMan1.Mar2016.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (May2017) for Golden eagle -Aquila chrysaetos canadensis- (aquChr2)","aquChr2","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/aquChr2/rmsk.aquChr2.May2017.rds","UCSC track","May2017","Aquila chrysaetos canadensis",216574,"UCSC RepeatMasker annotations (May2017) for Golden eagle (aquChr2)","UCSC RepeatMasker annotations (May2017) for Golden eagle (aquChr2)","aquChr2/rmsk.aquChr2.May2017.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Apr2014) for Minke whale -Balaenoptera acutorostrata scammoni- (balAcu1)","balAcu1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/balAcu1/rmsk.balAcu1.Apr2014.rds","UCSC track","Apr2014","Balaenoptera acutorostrata scammoni",310752,"UCSC RepeatMasker annotations (Apr2014) for Minke whale (balAcu1)","UCSC RepeatMasker annotations (Apr2014) for Minke whale (balAcu1)","balAcu1/rmsk.balAcu1.Apr2014.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Apr2017) for Bison -Bison bison bison- (bisBis1)","bisBis1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/bisBis1/rmsk.bisBis1.Apr2017.rds","UCSC track","Apr2017","Bison bison bison",43346,"UCSC RepeatMasker annotations (Apr2017) for Bison (bisBis1)","UCSC RepeatMasker annotations (Apr2017) for Bison (bisBis1)","bisBis1/rmsk.bisBis1.Apr2017.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Jun2019) for Cow -Bos taurus- (bosTau9)","bosTau9","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/bosTau9/rmsk.bosTau9.Jun2019.rds","UCSC track","Jun2019","Bos taurus",9913,"UCSC RepeatMasker annotations (Jun2019) for Cow (bosTau9)","UCSC RepeatMasker annotations (Jun2019) for Cow (bosTau9)","bosTau9/rmsk.bosTau9.Jun2019.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Sep2020) for Marmoset -Callithrix jacchus- (calJac4)","calJac4","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/calJac4/rmsk.calJac4.Sep2020.rds","UCSC track","Sep2020","Callithrix jacchus",9483,"UCSC RepeatMasker annotations (Sep2020) for Marmoset (calJac4)","UCSC RepeatMasker annotations (Sep2020) for Marmoset (calJac4)","calJac4/rmsk.calJac4.Sep2020.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (May2014) for Elephant shark -Callorhinchus milii- (calMil1)","calMil1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/calMil1/rmsk.calMil1.May2014.rds","UCSC track","May2014","Callorhinchus milii",7868,"UCSC RepeatMasker annotations (May2014) for Elephant shark (calMil1)","UCSC RepeatMasker annotations (May2014) for Elephant shark (calMil1)","calMil1/rmsk.calMil1.May2014.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
